transmission_id,name
2385,ADATEPE HES
951,ADIGÜZEL HES
1839,ADIGÜZEL2 HES
714,AKKÖPRÜ HES
956,AKKÖY1 HES
957,AKKÖY2 HES
1862,ALAKÖPRÜ HES
995,ALKUMRU HES
642,ALMUS HES
657,ALPASLAN HES
1521,ALTEK GÖNEN HES
650,ALTINKAYA HES
1881,ARDAHAN AKINCI HES
1735,ARKUN HES
1974,ARTVIN HES
2531,ASAGI KALEKÖY HES
1696,ASLANCIK HES
1076,ASLANTAS HES
1370,ATAKÖY HES
641,ATATÜRK HES
1923,AYVALI HES
2178,BAGISTAS1 HES
2200,BAHÇELIK HES
945,BALKUSAN HES
987,BATMAN HES
904,BAYRAMHACILI HES
1084,BERDAN HES
1074,BERKE HES
1849,BEYHAN1 HES
978,BIRECIK HES
1724,BOGAZKÖY HES
1278,BORÇKA HES
864,BOYABAT HES
656,ÇAMLIGÖZE HES
2044,ÇANDIR HES
1077,ÇATALAN HES
1576,ÇERMIKLER HES
2537,ÇETIN HES
1287,ÇILDIR HES
1594,CINDERE HES
1749,ÇINE HES
1381,DARICA1 HES
2214,DARICA2 HES
715,DEMIRKÖPRÜ HES
667,DERBENT HES
1570,DERINER HES
1547,DEVECI KONAGI HES
998,DICLE HES
1601,DIM HES
1864,DINAR2 HES
1039,ERKENEK (TEKTUG) HES
947,ERMENEK HES EÜAS
1189,FEKE2 HES
992,GARZAN HES
1082,GEZENDE HES
881,GÖKÇEKAYA HES
1798,GÖKKAYA HES
2149,GÖKTAS1 HES
1319,GÜLLÜBAG HES
2309,GÜMÜSÖREN HES
1609,GÜNDER HES
1005,HACININOGLU HES
863,HASAN UGURLU HES
758,HASANLAR HES
882,HIRFANLI HES
2035,HOSAP HES
2543,ILISU HES
1079,KADINCIK1 HES
1080,KADINCIK2 HES
1646,KANDIL HES
883,KAPULUKAYA HES
973,KARACAÖREN1 HES
974,KARACAÖREN2 HES
986,KARAKAYA HES DIYARBAKIR
1905,KARAKUZ HES
2218,KARAMENDERES HES
2181,KARGI HES
1868,KARGI KIZILIRMAK HES
999,KARKAMIS HES
1024,KARTALKAYA HES
2136,KASIMLAR HES
1672,KAVSAKBENDI HES
979,KEBAN HES
716,KEMER HES
884,KESIKKÖPRÜ
2267,KIGI HES
1029,KILAVUZLU HES
1387,KILIÇKAYA HES
1664,KIRAZLIK HES
1339,KOÇKÖPRÜ HES
1383,KÖKLÜCE HES
1412,KÖPRÜ HES
772,KÖPRÜBASI HES (BOLU)
2022,KOTANLI 1-2 HES
1180,KOZAN HES
997,KRALKIZI HES
1379,KÜRTÜN HES
1340,KUZGUN HES
971,MANAVGAT HES
1700,MANYAS HES
1198,MENGE HES
1004,MENZELET HES
1344,MURATLI HES
2195,MURSAL HES
1378,OBRUK HES
878,OYMAPINAR HES
990,ÖZLÜCE HES
1842,PEMBELIK HES
1185,SANIBEY HES
1573,SARIGÜZEL HES
1349,SARIMEHMET HES
885,SARIYAR HES
1351,SEFAKÖY HES
1078,SEYHAN 1 HES
991,SEYRANTEPE HES
1075,SIR HES
2082,SIRAKONAKLAR HES
1674,SIRIMTAS HES
1392,SUAT UGURLU HES
2393,SUÇATI HES KAHRAMANMARAS
1385,SÜMER HES
954,SUSEHRI HES
1663,TATAR HES
1908,TEPEKISLA HES
1353,TERCAN HES
1620,TOCAK I HES
2144,TOPÇAM HES
1948,TORTUM HES
960,TORUL HES
652,ULUABAT HES
1297,UMUT HES
1001,UZUNÇAYIR HES
1624,YALNIZ ARDIÇ HES
1190,YAMAÇ HES
894,YAMULA HES
1068,YAPRAK1-2 HES
1371,YAZI HES
942,YENICE HES
2262,YUKARI KALEKÖY HES
1362,YUKARI MANAHOZ HES
